lon,lat,OBJECTID,record_id,date_opened,record_status,record_status_date,date_closed,address,record_type,record_type_category,record_type_group,record_type_subtype,record_type_type,record_type_4level,record_name,description,planner_id,module,templateid,parent,children,constructcost,planner_name,planner_email,planner_phone,acalink,aalink,ORIG_FID,PHOTOTOUSE,application_type,mod_record_number,owner_seller,dimensions,facing,rate_card,estimated_cpm,availability,lighting,media_type,restrictions,booking_contact,buying_data_source,buying_data_confidence
-122.40191587699996,37.77938541800006,11,ORIG706,2015-12-18,Permitted,2015-12-18,,"397 05TH ST, SAN FRANCISCO, CA ",General Advertising Signs (GAS),GAS,Planning,Other,Other,Planning/Other/Other/GAS,397 05TH ST,,JPURVIS,Planning,15CAP-00000-00DQ9,,,0,,,,https://aca-prod.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=15CAP&capID2=00000&capID3=00DQ9&agencyCode=CCSF,https://ccsf-prod-av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=15CAP&ID2=00000&ID3=00DQ9&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,131669,ORIG706_02.JPG,,,Media owner to confirm; SF Planning GASP permit record,Est. 14 ft x 48 ft bulletin; seller to confirm,Field verification required,Est. $7.5k-$18k / 4 weeks,Est. $8-$18 CPM,Inquire - permitted inventory as of 2015-12-18; open flight dates seller-confirmed,Static face; lighting seller-confirmed,Static,"Permitted SF GASP permit terms; owner approval, creative specs, and regulated-category restrictions must be verified before booking",Use GASP permit link for inquiry trail; media sales owner to confirm,Modeled from SF Planning GASP permit metadata; confirm with media owner before purchase,estimated
-122.41770396499999,37.79117621600005,12,ORIG67,2015-12-18,Permitted,2015-12-18,,,General Advertising Signs (GAS),GAS,Planning,Other,Other,Planning/Other/Other/GAS,1408 CALIFORNIA ST,,JPURVIS,Planning,15CAP-00000-00DPH,,,0,,,,https://aca-prod.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=15CAP&capID2=00000&capID3=00DPH&agencyCode=CCSF,https://ccsf-prod-av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=15CAP&ID2=00000&ID3=00DPH&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,131670,ORIG67_02.JPG,,,Media owner to confirm; SF Planning GASP permit record,Est. 14 ft x 48 ft bulletin; seller to confirm,Field verification required,Est. $7.5k-$18k / 4 weeks,Est. $8-$18 CPM,Inquire - permitted inventory as of 2015-12-18; open flight dates seller-confirmed,Static face; lighting seller-confirmed,Static,"Permitted SF GASP permit terms; owner approval, creative specs, and regulated-category restrictions must be verified before booking",Use GASP permit link for inquiry trail; media sales owner to confirm,Modeled from SF Planning GASP permit metadata; confirm with media owner before purchase,estimated
-122.40254228499998,37.75083666900008,13,ORIG888,2015-12-18,Permitted,2015-12-18,,,General Advertising Signs (GAS),GAS,Planning,Other,Other,Planning/Other/Other/GAS,2300 26TH ST,,JPURVIS,Planning,15CAP-00000-00DTN,,,0,,,,https://aca-prod.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=15CAP&capID2=00000&capID3=00DTN&agencyCode=CCSF,https://ccsf-prod-av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=15CAP&ID2=00000&ID3=00DTN&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,131671,ORIG888_02.JPG,,,Media owner to confirm; SF Planning GASP permit record,Est. 12 ft x 25 ft poster/bulletin; seller to confirm,Field verification required,Est. $4k-$10k / 4 weeks,Est. $6-$14 CPM,Inquire - permitted inventory as of 2015-12-18; open flight dates seller-confirmed,Static face; lighting seller-confirmed,Static,"Permitted SF GASP permit terms; owner approval, creative specs, and regulated-category restrictions must be verified before booking",Use GASP permit link for inquiry trail; media sales owner to confirm,Modeled from SF Planning GASP permit metadata; confirm with media owner before purchase,estimated
-122.39773726499999,37.781642496000075,14,ORIG762,2015-12-18,Permitted,2015-12-17,,,General Advertising Signs (GAS),GAS,Planning,Other,Other,Planning/Other/Other/GAS,130 PERRY ST,General Advertising Sign,ATAN,Planning,15CAP-00000-00DRK,,,0,Ada Tan,ada.tan@sfgov.org,628-652-7403,https://aca-prod.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=15CAP&capID2=00000&capID3=00DRK&agencyCode=CCSF,https://ccsf-prod-av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=15CAP&ID2=00000&ID3=00DRK&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,131675,ORIG762_02.JPG,,,Media owner to confirm; SF Planning permit contact: Ada Tan,Est. 14 ft x 48 ft bulletin; seller to confirm,Field verification required,Est. $7.5k-$18k / 4 weeks,Est. $8-$18 CPM,Inquire - permitted inventory as of 2015-12-17; open flight dates seller-confirmed,Static face; lighting seller-confirmed,Static,"Permitted SF GASP permit terms; owner approval, creative specs, and regulated-category restrictions must be verified before booking",Ada Tan / ada.tan@sfgov.org / 628-652-7403 (permit contact; media sales owner to confirm),Modeled from SF Planning GASP permit metadata; confirm with media owner before purchase,estimated
-122.40508642099996,37.77844191300005,15,ORIG714,2015-12-18,Permitted,2015-12-18,,,General Advertising Signs (GAS),GAS,Planning,Other,Other,Planning/Other/Other/GAS,301 06TH ST,,JPURVIS,Planning,15CAP-00000-00DQE,,,0,,,,https://aca-prod.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=15CAP&capID2=00000&capID3=00DQE&agencyCode=CCSF,https://ccsf-prod-av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=15CAP&ID2=00000&ID3=00DQE&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,131676,ORIG714_02.JPG,,,Media owner to confirm; SF Planning GASP permit record,Est. 14 ft x 48 ft bulletin; seller to confirm,Field verification required,Est. $7.5k-$18k / 4 weeks,Est. $8-$18 CPM,Inquire - permitted inventory as of 2015-12-18; open flight dates seller-confirmed,Static face; lighting seller-confirmed,Static,"Permitted SF GASP permit terms; owner approval, creative specs, and regulated-category restrictions must be verified before booking",Use GASP permit link for inquiry trail; media sales owner to confirm,Modeled from SF Planning GASP permit metadata; confirm with media owner before purchase,estimated
-122.40296556099997,37.776837224000076,16,ORIG751,2015-12-18,Permitted,2015-12-17,,,General Advertising Signs (GAS),GAS,Planning,Other,Other,Planning/Other/Other/GAS,451 06TH ST,,JPURVIS,Planning,15CAP-00000-00DR9,,,0,,,,https://aca-prod.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=15CAP&capID2=00000&capID3=00DR9&agencyCode=CCSF,https://ccsf-prod-av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=15CAP&ID2=00000&ID3=00DR9&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,131677,ORIG751_02.JPG,,,Media owner to confirm; SF Planning GASP permit record,Est. 14 ft x 48 ft bulletin; seller to confirm,Field verification required,Est. $7.5k-$18k / 4 weeks,Est. $8-$18 CPM,Inquire - permitted inventory as of 2015-12-17; open flight dates seller-confirmed,Static face; lighting seller-confirmed,Static,"Permitted SF GASP permit terms; owner approval, creative specs, and regulated-category restrictions must be verified before booking",Use GASP permit link for inquiry trail; media sales owner to confirm,Modeled from SF Planning GASP permit metadata; confirm with media owner before purchase,estimated
-122.39382353799999,37.74509711600007,17,ORIG932,2015-12-18,Permitted,2015-12-18,,,General Advertising Signs (GAS),GAS,Planning,Other,Other,Planning/Other/Other/GAS,1859 EVANS ST,General Advertising Sign,JPURVIS,Planning,15CAP-00000-00DUL,,,0,,,,https://aca-prod.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=15CAP&capID2=00000&capID3=00DUL&agencyCode=CCSF,https://ccsf-prod-av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=15CAP&ID2=00000&ID3=00DUL&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,131678,ORIG932_03.jpg,,,Media owner to confirm; SF Planning GASP permit record,Est. 10 ft x 22 ft neighborhood poster; seller to confirm,Field verification required,Est. $2k-$6k / 4 weeks,Est. $4-$10 CPM,Inquire - permitted inventory as of 2015-12-18; open flight dates seller-confirmed,Static face; lighting seller-confirmed,Static,"Permitted SF GASP permit terms; owner approval, creative specs, and regulated-category restrictions must be verified before booking",Use GASP permit link for inquiry trail; media sales owner to confirm,Modeled from SF Planning GASP permit metadata; confirm with media owner before purchase,estimated
-122.40065255299999,37.72502432300007,18,ORIG983,2015-12-18,Permitted,2015-12-17,,,General Advertising Signs (GAS),GAS,Planning,Other,Other,Planning/Other/Other/GAS,1575 BAYSHORE BLVD,General Advertising Sign,ATAN,Planning,15CAP-00000-00DVG,,,0,Ada Tan,ada.tan@sfgov.org,628-652-7403,https://aca-prod.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=15CAP&capID2=00000&capID3=00DVG&agencyCode=CCSF,https://ccsf-prod-av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=15CAP&ID2=00000&ID3=00DVG&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,131681,ORIG983_02.JPG,,,Media owner to confirm; SF Planning permit contact: Ada Tan,Est. 10 ft x 22 ft neighborhood poster; seller to confirm,Field verification required,Est. $2k-$6k / 4 weeks,Est. $4-$10 CPM,Inquire - permitted inventory as of 2015-12-17; open flight dates seller-confirmed,Static face; lighting seller-confirmed,Static,"Permitted SF GASP permit terms; owner approval, creative specs, and regulated-category restrictions must be verified before booking",Ada Tan / ada.tan@sfgov.org / 628-652-7403 (permit contact; media sales owner to confirm),Modeled from SF Planning GASP permit metadata; confirm with media owner before purchase,estimated
-122.39733184699998,37.782201142000076,19,ORIG756,2015-12-18,Permitted,2015-12-17,,,General Advertising Signs (GAS),GAS,Planning,Other,Other,Planning/Other/Other/GAS,400 03RD ST,,JPURVIS,Planning,15CAP-00000-00DRE,,,0,,,,https://aca-prod.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=15CAP&capID2=00000&capID3=00DRE&agencyCode=CCSF,https://ccsf-prod-av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=15CAP&ID2=00000&ID3=00DRE&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,131684,ORIG756_02.JPG,,,Media owner to confirm; SF Planning GASP permit record,Est. 14 ft x 48 ft bulletin; seller to confirm,Field verification required,Est. $7.5k-$18k / 4 weeks,Est. $8-$18 CPM,Inquire - permitted inventory as of 2015-12-17; open flight dates seller-confirmed,Static face; lighting seller-confirmed,Static,"Permitted SF GASP permit terms; owner approval, creative specs, and regulated-category restrictions must be verified before booking",Use GASP permit link for inquiry trail; media sales owner to confirm,Modeled from SF Planning GASP permit metadata; confirm with media owner before purchase,estimated
-122.40866188299998,37.78063034100006,20,ORIG656,2015-12-18,Permitted,2015-12-18,,,General Advertising Signs (GAS),GAS,Planning,Other,Other,Planning/Other/Other/GAS,106 06TH ST,,JPURVIS,Planning,15CAP-00000-00DP8,,,0,,,,https://aca-prod.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=15CAP&capID2=00000&capID3=00DP8&agencyCode=CCSF,https://ccsf-prod-av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=15CAP&ID2=00000&ID3=00DP8&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,131685,ORIG656_01.JPG,,,Media owner to confirm; SF Planning GASP permit record,Est. 14 ft x 48 ft bulletin; seller to confirm,Field verification required,Est. $7.5k-$18k / 4 weeks,Est. $8-$18 CPM,Inquire - permitted inventory as of 2015-12-18; open flight dates seller-confirmed,Static face; lighting seller-confirmed,Static,"Permitted SF GASP permit terms; owner approval, creative specs, and regulated-category restrictions must be verified before booking",Use GASP permit link for inquiry trail; media sales owner to confirm,Modeled from SF Planning GASP permit metadata; confirm with media owner before purchase,estimated
-122.40386987999995,37.72901836600005,21,ORIG993,2015-12-18,Permitted,2015-12-18,,,General Advertising Signs (GAS),GAS,Planning,Other,Other,Planning/Other/Other/GAS,2599 SAN BRUNO AVE,,JPURVIS,Planning,15CAP-00000-00DVO,,,0,,,,https://aca-prod.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=15CAP&capID2=00000&capID3=00DVO&agencyCode=CCSF,https://ccsf-prod-av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=15CAP&ID2=00000&ID3=00DVO&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,131686,ORIG993_01.JPG,,,Media owner to confirm; SF Planning GASP permit record,Est. 10 ft x 22 ft neighborhood poster; seller to confirm,Field verification required,Est. $2k-$6k / 4 weeks,Est. $4-$10 CPM,Inquire - permitted inventory as of 2015-12-18; open flight dates seller-confirmed,Static face; lighting seller-confirmed,Static,"Permitted SF GASP permit terms; owner approval, creative specs, and regulated-category restrictions must be verified before booking",Use GASP permit link for inquiry trail; media sales owner to confirm,Modeled from SF Planning GASP permit metadata; confirm with media owner before purchase,estimated
-122.40339896499995,37.777467468000054,22,ORIG749,2015-12-18,Permitted,2020-03-26,,,General Advertising Signs (GAS),GAS,Planning,Other,Other,Planning/Other/Other/GAS,975 HARRISON ST,,JPURVIS,Planning,15CAP-00000-00DR6,,,0,,,,https://aca-prod.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=15CAP&capID2=00000&capID3=00DR6&agencyCode=CCSF,https://ccsf-prod-av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=15CAP&ID2=00000&ID3=00DR6&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,131687,ORIG749_02.JPG,,,Media owner to confirm; SF Planning GASP permit record,Est. 14 ft x 48 ft bulletin; seller to confirm,Field verification required,Est. $7.5k-$18k / 4 weeks,Est. $8-$18 CPM,Inquire - permitted inventory as of 2020-03-26; open flight dates seller-confirmed,Static face; lighting seller-confirmed,Static,"Permitted SF GASP permit terms; owner approval, creative specs, and regulated-category restrictions must be verified before booking",Use GASP permit link for inquiry trail; media sales owner to confirm,Modeled from SF Planning GASP permit metadata; confirm with media owner before purchase,estimated
